,0
1443,22533
1444,5611
1445,1944
1446,648
1447,16648
1448,15683
1449,398
1450,1413
1451,25198
1452,3354
1453,13326
1454,1986
1455,1387
1456,14476
1457,1527
1458,1102
1459,9151
1460,64082
1461,1275
1462,1644
1463,7548
1464,15549
1465,13960
1466,5617
1467,988
1468,8287
1469,797
1470,1907
1471,12292
1472,1807
1473,1263
1474,9689
1475,471
1476,369
1477,9866
1478,377
1479,2528
1480,3647
1481,4551
1482,1338
1483,1083
1484,892
1485,460
1486,1395
1487,1007
1488,678
1489,697
1490,1519
1491,2260
1492,14167
1493,1869
1494,3437
1495,335
1496,7145
1497,87295
1498,1027
1499,1002
1500,4798
1501,784
1502,2839
1503,11971
1504,2823
1505,565
1506,3913
1507,1167
1508,4549
1509,280
1510,1084
1511,1617
1512,333
1513,582
1514,1311
1515,480
1516,4371
1517,842
1518,2033
1519,1483
1520,981
1521,1615
1522,1053
1523,29671
1524,590
1525,13471
1526,2514
1527,929
1528,11010
1529,1175
1530,10193
1531,24798
1532,723
1533,1055
1534,1219
1535,526
1536,3337
1537,1192
1538,1371
1539,5247
1540,1005
1541,15460
1542,1570
1543,649
1544,8097
1545,486
1546,743
1547,523
1548,1663
1549,813
1550,1438
1551,15174
1552,45691
1553,353
1554,31544
1555,11604
1556,809
1557,431
1558,1063
1559,1261
1560,4154
1561,1584
1562,614
1563,450
1564,648
1565,4033
1566,1104
1567,1866
1568,1510
1569,1569
1570,9459
1571,1130
1572,11919
1573,1258
1574,7421
1575,607
1576,38698
1577,353
1578,2656
1579,8221
1580,690
1581,10390
1582,1080
1583,1900
1584,3340
1585,6461
1586,13538
1587,4757
1588,5783
1589,60889
1590,111641
1591,755
1592,24173
1593,1119
1594,1585
1595,643
1596,483
1597,15681
1598,3385
1599,3029
1600,5002
1601,1780
1602,1241
1603,1667
1604,729
1605,7376
1606,1223
1607,378
1608,5446
1609,4293
1610,1380
1611,1846
1612,532
1613,3697
1614,961
1615,1950
1616,519
1617,358
1618,36646
1619,473
1620,243
1621,355
1622,434
1623,1159
1624,5119
1625,1846
1626,1022
1627,1330
1628,563
1629,574
1630,2821
1631,1167
1632,4360
1633,712
1634,2287
1635,1115
1636,1107
1637,970
1638,456
1639,347
1640,477
1641,21958
1642,951
1643,823
1644,4873
1645,7255
1646,2405
1647,828
1648,3368
1649,10484
1650,5051
1651,4095
1652,511
1653,1331
1654,1889
1655,7673
1656,1510
1657,2621
1658,633
1659,1401
1660,12006
1661,1395
1662,2237
1663,1029
1664,2313
1665,522
1666,880
1667,12851
1668,713
1669,796
1670,892
1671,1416
1672,13310
1673,206
1674,914
1675,931
1676,1309
1677,548
1678,817
1679,817
1680,999
1681,977
1682,1334
1683,777
1684,792
1685,2454
1686,760
1687,2766
1688,1644
1689,4765
1690,3814
1691,693
1692,7159
1693,549
1694,1300
1695,4438
1696,299
1697,12730
1698,976
1699,598
1700,10391
1701,4958
1702,1432
1703,1613
1704,2986
1705,4651
1706,1418
1707,2535
1708,1421
1709,2129
1710,1880
1711,266
1712,624
1713,631
1714,8437
1715,9202
1716,13379
1717,3765
1718,13125
1719,451
1720,643
1721,31718
1722,15639
1723,637
1724,1520
1725,780
1726,1133
1727,651
1728,1746
1729,6996
1730,4403
1731,13713
1732,497
1733,1314
1734,56295
1735,1036
1736,2167
1737,188113
1738,7173
1739,540
1740,441
1741,7018
1742,23552
1743,1556
1744,386
1745,5196
1746,1423
1747,277
1748,793
1749,1034
1750,2569
