,Intercept
1755,14.203
1756,13.971
1757,13.848
1758,13.715
1759,13.485
1760,13.314
1761,13.219
1762,13.083
1763,13.008
1764,12.977
1765,12.88
1766,12.8
1767,12.613
1768,12.469
1769,12.356
1770,12.386
1771,12.334
1772,12.258
1773,12.185
1774,12.063
1775,11.928
1776,11.795
1777,11.627
1778,11.569
1779,11.503
1780,11.085
1781,11.053
1782,11.056
1783,10.998
1784,11.023
1785,10.954
1786,10.926
1787,10.905
1788,10.965
1789,11.02
1790,11.109
1791,11.139
1792,11.109
1793,11.148
1794,11.124
1795,11.127
1796,11.034
1797,11.014
1798,10.96
1799,11.081
1800,11.208
1801,11.193
1802,11.252
1803,11.313
1804,11.314
1805,11.359
1806,11.455
1807,11.496
1808,11.538
1809,11.518
1810,11.465
1811,11.409
1812,11.356
1813,11.312
1814,11.275
1815,11.241
1816,11.237
1817,11.301
1818,11.279
1819,11.27
1820,11.227
1821,11.182
1822,11.084
1823,11.093
1824,11.199
1825,11.182
1826,11.226
1827,11.194
1828,11.171
1829,11.116
1830,11.1
1831,11.08
1832,11.098
1833,11.068
1834,11.062
1835,11.078
1836,11.076
1837,11.034
1838,11.057
1839,11.053
1840,11.058
1841,11.099
1842,11.182
1843,11.235
1844,11.283
1845,11.273
1846,11.243
1847,11.189
1848,11.169
1849,11.172
1850,11.173
1851,11.129
1852,11.125
1853,11.146
1854,11.091
1855,11.047
1856,11.07
1857,11.042
1858,11.053
1859,11.098
1860,11.213
1861,11.262
1862,11.301
1863,11.228
1864,11.165
1865,11.12
1866,11.058
1867,11.044
1868,11.107
1869,11.076
1870,11.005
1871,10.944
1872,11.05
1873,11.024
1874,11.086
1875,11.095
1876,11.112
1877,11.149
1878,11.161
1879,11.138
1880,11.1
1881,11.001
1882,10.882
1883,10.809
1884,10.794
1885,10.788
1886,10.814
1887,10.832
1888,10.842
1889,10.837
1890,10.776
1891,10.757
1892,10.803
1893,10.775
1894,10.776
1895,10.803
1896,10.876
