,Intercept
1856,11.0701245745
1857,11.0417936947
1858,11.0528410112
1859,11.0978345089
1860,11.2128730754
1861,11.2620368625
1862,11.3008167289
1863,11.2283013804
1864,11.1653194878
1865,11.1200523884
1866,11.057677687
1867,11.0438642251
1868,11.1068551636
1869,11.0756610208
1870,11.0052782652
1871,10.944231349
1872,11.0500781463
1873,11.0238653507
1874,11.0860493218
1875,11.0950603971
1876,11.1117154759
1877,11.1492808715
1878,11.1611332779
1879,11.1381371634
1880,11.099915548
1881,11.0011520595
1882,10.8821627082
1883,10.8089554623
1884,10.7941033617
1885,10.7880333859
1886,10.8136854149
1887,10.8319489146
1888,10.8421086283
1889,10.836688929
1890,10.7759036726
1891,10.7570623322
1892,10.8028771346
1893,10.7752301997
1894,10.7759036726
1895,10.8028771346
1896,10.8760432129
1897,10.9203170087
1898,10.9332925879
1899,10.7752301997
1900,10.6766861521
1901,10.6240999433
1902,10.5539479163
1903,10.4489343799
1904,10.4332727275
1905,10.3948708813
1906,10.3301055408
1907,10.3449657457
1908,10.3210706518
1909,10.3721569536
1910,10.3961703214
1911,10.4698531605
1912,10.5137875941
1913,10.606186893
1914,10.6860323408
1915,10.7537012754
1916,10.7167988895
1917,10.6480310806
1918,10.6340647072
1919,10.6161348556
1920,10.6600168563
1921,10.70474927
1922,10.7752301997
1923,10.755045572
1924,10.7268505995
1925,10.7732100334
1926,10.8448194943
1927,10.9538117422
1928,11.0632079083
1929,11.081200236
1930,11.0659740561
1931,11.1158831506
1932,11.1423147481
1933,11.1939673083
1934,11.2016658069
1935,11.1590407616
1936,11.1597382235
1937,11.3057619179
1938,11.3809112479
1939,11.415105247
1940,11.4866730713
1941,11.5276673217
1942,11.5067923484
1943,11.5666389265
1944,11.6231639591
1945,11.7487869857
1946,11.8283595531
1947,11.8921081566
1948,11.953958754
1949,12.00412091
1950,12.0116258306
1951,11.9861282265
1952,11.9412644178
1953,11.8779946597
1954,11.8661226021
1955,11.8898785954
1956,11.9151714515
1957,12.0108751274
1958,12.02289201
1959,11.9876265862
1960,11.9151714515
1961,11.8987993492
1962,11.8839351421
1963,11.8943381359
1964,11.9211305269
1965,11.9412644178
1966,11.9136821482
1967,11.9367872832
1968,11.9032622357
1969,11.9300747284
1970,11.9382794749
1971,11.9457432317
1972,11.7951390301
1973,11.8246637683
1974,11.8128450149
1975,11.8742833663
1976,11.8817071131
1977,11.846115406
1978,11.7517245496
1979,11.7407124706
1980,11.7458501561
1981,11.8098921727
1982,11.8498178956
1983,11.93305762
1984,11.9532116549
1985,12.0146291124
1986,12.0251465136
1987,12.0093738619
1988,12.0093738619
1989,11.9569476172
1990,11.953958754
1991,11.9591897551
1992,11.9861282265
1993,12.0439504918
1994,12.0657999472
1995,12.0507271197
1996,12.0258981087
1997,12.0590148432
1998,12.0748526915
1999,12.1217335186
2000,12.1649942066
2001,12.186301585
2002,12.222915383
2003,12.3149318789
2004,12.3519321472
2005,12.4208312176
2006,12.475291399
2007,12.50182958
